file	line	term	sense	confidence	proposed	context
CHANGELOG.md	55	process types	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	"Service process types" (advance 004, mods 094-106) — decouples build artifact
CHANGELOG.md	56	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	from process type. A core service in `infra.yml` is no longer one service; it is
CHANGELOG.md	56	core service	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	from process type. A core service in `infra.yml` is no longer one service; it is
CHANGELOG.md	57	process types	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	a **codebase** declaring N *process types*, one image started N ways. The
CHANGELOG.md	59	process types	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	a new interface relation `consumes` between core process types. Everything
CHANGELOG.md	72	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	non-ingress process type on both foundations. Fixed gets the usual compose
CHANGELOG.md	85	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	- **`consumes:` on a process type** (mod 098) — the interface half of what
CHANGELOG.md	97	core_services	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	- **Four-segment core magic refs** — `${core_services.<svc>.<proc>.<part>}`
CHANGELOG.md	99	process types	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	process types and there is nothing to qualify. The pattern is now
CHANGELOG.md	100	core_services	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	kind-prefixed and body-agnostic, so anything beginning `${core_services.` /
CHANGELOG.md	126	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	round-robins and `provides.host` still means "the process type"; traefik
CHANGELOG.md	135	core_service	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	- **Two OTel resource attributes** — `docex.core_service` and
CHANGELOG.md	136	process_type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	`docex.process_type`, appended to the unchanged `service.namespace` /
CHANGELOG.md	139	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	process type of `api`" or "every `worker` across codebases" is a prefix or
CHANGELOG.md	142	process_type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	the split the elastic tag block already uses. `docex.process_type`'s presence
CHANGELOG.md	144	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	process type, so a per-codebase artifact is queryable as "the `api` codebase,
CHANGELOG.md	145	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	no process type".
CHANGELOG.md	147	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	Checks`) — every long-running process type serves `GET /health` on its declared
CHANGELOG.md	155	process types	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	cycle from recursing; `scheduler` process types are exempt. Because AsyncAPI has
CHANGELOG.md	161	core service	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	`"2"` (21); every core service declares a non-empty `processes:` and nothing
CHANGELOG.md	163	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	process type declares a `command` (23); `depends_on` names only backing
CHANGELOG.md	164	process types	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	services (24); `consumes` names only core process types, fully qualified, never
CHANGELOG.md	174	core_service	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	per-node `consumes` list, and `core_service` / `process` beside `short`; the
CHANGELOG.md	185	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	entrypoint per process type, calling `build()` and never a concrete adapter
CHANGELOG.md	197	process types	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	- **A core service is a codebase declaring N process types** (mod 096).
CHANGELOG.md	197	core service	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	- **A core service is a codebase declaring N process types** (mod 096).
CHANGELOG.md	198	core service	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	`processes:` is **required and non-empty** on every core service; there is no
CHANGELOG.md	200	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	`resources`, `port`, `depends_on` and `replicas` move onto the process type;
CHANGELOG.md	204	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	the source code, and to the process type iff it is determined by the
CHANGELOG.md	205	process-scoped	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	invocation* — so role-specific fields follow `role` and are process-scoped by
CHANGELOG.md	228	domain_default_process	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	must be updated. `domain_default_service` becomes **`domain_default_process`**
CHANGELOG.md	240	process type	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	- **Contracts are per process type.** The path is
CHANGELOG.md	244	process types	FROZEN_HISTORY	policy	(append 1.7.0 entry only)	provider set becomes (`consumes` targets) ∪ (`web`-network process types) minus
