docex/doctrine_excerpts/build_image.md	7	Core Service	AMBIG	mixed	codebase? or KEEP?	The image's Dockerfile must declare four canonical stages (`build`, `dev`, `prod`, `test`) — this is a strict doctrine rule, not a convention. See `in
docex/doctrine_excerpts/core_service.md	1	core_service	AMBIG	low	codebase? or KEEP?	# core_service
docex/doctrine_excerpts/core_service.md	8	Core services	PROTECTED_NEARBY	review	codebase? or KEEP?	2. **Core services execute as stateless processes** (12-factor). Persistent state lives in backing services. A core service must be safe to terminate,
docex/doctrine_excerpts/core_service.md	8	core service	PROTECTED_NEARBY	review	codebase? or KEEP?	2. **Core services execute as stateless processes** (12-factor). Persistent state lives in backing services. A core service must be safe to terminate,
docex/doctrine_excerpts/core_service.md	10	Core services	AMBIG	low	codebase? or KEEP?	Core services declare `resources:` (CPU, memory, optional disk/GPU) in `infra.yml`; the compiler translates this to compose `deploy.resources` or Farg
docex/doctrine_excerpts/reverse_proxy.md	7	core services	AMBIG	low	codebase? or KEEP?	- **Elastic: AWS ALB.** One ALB per environment in the env's public subnets, listening on 443 with the project's ACM cert. Doctrine-provisioned (not d
docex/doctrine_excerpts/service_discovery.md	6	core services	AMBIG	low	codebase? or KEEP?	- **Elastic:** AWS Cloud Map + ECS Service Connect. Each environment's ECS namespace registers core services by their short name; consumers reach them
docex/doctrine_excerpts/service_discovery.md	8	core service	AMBIG	low	codebase? or KEEP?	In both cases the *connection string* a core service builds looks the same — only the resolution mechanism underneath differs.
docex/plans/advances/005_process_type_solidification/uses_relation_merge.md	21	core service	AMBIG	low	codebase? or KEEP?	emits compose `depends_on` / `condition:` on core service blocks. Not
docex/plans/advances/005_process_type_solidification/uses_relation_merge.md	130	core service	AMBIG	low	codebase? or KEEP?	gate proves the schema-owning database healthy before any core service starts.
docex/plans/advances/005_process_type_solidification/uses_relation_merge.md	227	core service	AMBIG	low	codebase? or KEEP?	- `telemetry_infra.md` — line 240 mentions the core service not declaring a
docex/plans/advances/005_process_type_solidification/uses_relation_merge.md	251	core service	AMBIG	low	codebase? or KEEP?	form (`role`, `port`, `depends_on` directly on the core service), which
docex/plans/core/compiler.md	71	core services	AMBIG	low	codebase? or KEEP?	- **`MagicRefResolver`** — resolves a magic ref against the named service's engine `provides:` block. State (compile contexts, engines, foundation) is
docex/plans/core/compiler.md	74	core_services	AMBIG	low	codebase? or KEEP?	${core_services.<service>.<process>.<part>}     # four segments — api.web.host
docex/plans/core/compiler.md	80	core_services	AMBIG	low	codebase? or KEEP?	- **Parse generically, then arity-check by kind** (mod 097). `_MAGIC_RE` matches *any* `${core_services.…}` / `${backing_services.…}`, whatever its bo
docex/plans/core/compiler.md	98	core service	AMBIG	low	codebase? or KEEP?	Mod 096. One core service key in `infra.yml` maps to **N** `CompiledService`
docex/plans/core/compiler.md	104	core_service	AMBIG	low	codebase? or KEEP?	-> CompiledService(name="api-web",    core_service="api", process="web")
docex/plans/core/compiler.md	105	core_service	AMBIG	low	codebase? or KEEP?	-> CompiledService(name="api-worker", core_service="api", process="worker")
docex/plans/core/compiler.md	125	core_services	AMBIG	low	codebase? or KEEP?	| the project-tier ECR repo set (`emit_hcl_project`) | `list(infra.core_services)` |
docex/plans/core/compiler.md	127	core_service	AMBIG	low	codebase? or KEEP?	| the `core/<svc>/` source folder — compose bind mounts and build context | `core_service` |
docex/plans/core/compiler.md	128	core_service	AMBIG	low	codebase? or KEEP?	| the migrate task-def family and address | `codebase_global_name` / `core_service` |
docex/plans/core/compiler.md	130	core_service	AMBIG	low	codebase? or KEEP?	`CompiledService` therefore carries `core_service`, `process`,
docex/plans/core/compiler.md	149	core_service	AMBIG	low	codebase? or KEEP?	| `docex.core_service` | `api` | `api` |
docex/plans/core/compiler.md	403	core service	AMBIG	low	codebase? or KEEP?	The elastic test project's `web` core service declares:
docex/plans/core/compiler.md	413	core_services	AMBIG	low	codebase? or KEEP?	2. **Resolve engine per service**. `compile_env(env="stage", foundation="elastic")` walks `infra.yml`'s `core_services` and `backing_services`. For `a
docex/plans/core/release_flow.md	72	core service	AMBIG	low	codebase? or KEEP?	| 2 | docker pull (per core service) | tofu apply (full) | tofu apply (targeted: migration task-defs only) |
docex/plans/core/release_flow.md	180	core service	AMBIG	low	codebase? or KEEP?	The mirror step (4) exists because the release functions read those paths via `worktree_ctx.project_root`, but `git worktree add` does not carry gitig
docex/plans/core/release_flow.md	199	core service	AMBIG	low	codebase? or KEEP?	Step 8 is the only fail-aggregated check. `_missing_images` probes every core service, accumulates misses, and the caller raises with the complete lis
docex/plans/core/test_projects.md	16	process types	PROTECTED_NEARBY	review	core service(s)	- **`api`** — one codebase, one image, two process types. `api.web` (`role: web`) exposes `POST /pings` + `GET /health` + the `/health/api/worker` fan
docex/plans/core/test_projects.md	16	process-type	PROTECTED_NEARBY	review	core service(s)	- **`api`** — one codebase, one image, two process types. `api.web` (`role: web`) exposes `POST /pings` + `GET /health` + the `/health/api/worker` fan
docex/plans/core/test_projects.md	17	process type	PROTECTED_NEARBY	review	core service(s)	- **`reaper`** — a scheduler-only codebase with one process type, `reaper.prune` (`role: scheduler`), nightly-pruning expired processed pings. Kept se
docex/test_projects/PRE_CUT_CHECKLIST.md	169	core service	AMBIG	low	codebase? or KEEP?	- [ ] **B.3.1 `processes:` on every core service** — present and **non-empty** on each. There is no flat form and no single-process shorthand. The ser
docex/test_projects/PRE_CUT_CHECKLIST.md	170	core service	AMBIG	low	codebase? or KEEP?	- [ ] **B.3.2 `depends_on` names backing services only** — a core process type in a `depends_on` list is an error (rule 24). Core→core interface edges
docex/test_projects/PRE_CUT_CHECKLIST.md	170	core_services	AMBIG	low	codebase? or KEEP?	- [ ] **B.3.2 `depends_on` names backing services only** — a core process type in a `depends_on` list is an error (rule 24). Core→core interface edges
docex/test_projects/PRE_CUT_CHECKLIST.md	173	Core service	AMBIG	mixed	codebase? or KEEP?	- [ ] **B.6 Core service Dockerfiles** — every core service has a Dockerfile with `build`, `dev`, `prod`, `test` stages. Per [`infrastructure.md § Cor
docex/test_projects/PRE_CUT_CHECKLIST.md	173	core service	AMBIG	mixed	codebase? or KEEP?	- [ ] **B.6 Core service Dockerfiles** — every core service has a Dockerfile with `build`, `dev`, `prod`, `test` stages. Per [`infrastructure.md § Cor
docex/test_projects/PRE_CUT_CHECKLIST.md	173	Core Service	AMBIG	mixed	codebase? or KEEP?	- [ ] **B.6 Core service Dockerfiles** — every core service has a Dockerfile with `build`, `dev`, `prod`, `test` stages. Per [`infrastructure.md § Cor
docex/test_projects/PRE_CUT_CHECKLIST.md	221	process types	PROTECTED_NEARBY	review	core service(s)	- [ ] `./bin/docex test` — exits 0. One test run per **codebase** (`api`, `reaper`), each covering every module that codebase's process types drive — 
docex/test_projects/elastic/core/api/Dockerfile	1	core service	AMBIG	low	codebase? or KEEP?	# api — Python core service, multi-stage build per doctrine
docex/test_projects/elastic/core/api/Dockerfile	64	core services	AMBIG	low	codebase? or KEEP?	# is deliberately irrelevant for core services — with two process types on
docex/test_projects/elastic/core/api/tests/test_processor_smoke.py	3	process type	PROTECTED_NEARBY	review	core service(s)	`processor` is the module the `api.worker` process type drives. Verifies
docex/test_projects/elastic/core/reaper/Dockerfile	1	core service	AMBIG	low	codebase? or KEEP?	# reaper — Python scheduler core service, multi-stage build per doctrine.
docex/test_projects/elastic/infra/config/README.md	4	core service	AMBIG	low	codebase? or KEEP?	Keys are **declared** in each core service's `config:` block in `infra.yml`
docex/test_projects/elastic/infra/contracts/api.worker.asyncapi.yml	47	process type	PROTECTED_NEARBY	review	core service(s)	process type claims rows where `processed_at IS NULL`, oldest first,
docex/test_projects/elastic/infra/contracts/api.worker.asyncapi.yml	80	process type	PROTECTED_NEARBY	review	core service(s)	Null while unprocessed; stamped by this process type on a
docex/test_projects/elastic/infra/secrets/README.md	4	core service	AMBIG	low	codebase? or KEEP?	project's own API keys/tokens (declared in a core service's `secrets:` block)
docex/test_projects/elastic/plans/core/api/hex/pings.md	5	process type	PROTECTED_NEARBY	review	core service(s)	Captures requests as `Ping` rows in postgres for the `api.worker` process type to process. Implements the `POST /pings` write surface and exposes the 
docex/test_projects/elastic/plans/core/api/hex/pings.md	29	process type	PROTECTED_NEARBY	review	core service(s)	- `pings` does not own the `processed_at = now()` write — that belongs to the sibling [`processor`](./processor.md) module, driven by the `api.worker`
docex/test_projects/elastic/plans/core/api/hex/processor.md	5	process type	PROTECTED_NEARBY	review	core service(s)	Claims unprocessed rows from the `pings` table and marks each one processed. Driven by the `api.worker` process type. Demonstrates a second module ins
docex/test_projects/elastic/plans/core/masterplan.md	55	Core Services	AMBIG	low	codebase? or KEEP?	### Core Services
docex/test_projects/elastic/plans/core/masterplan.md	57	process types	PROTECTED_NEARBY	review	core service(s)	Same **two codebases and three process types** as the fixed companion: `api` (process types `web` + `worker`) and `reaper` (process type `prune`). Sam
docex/test_projects/elastic/plans/core/masterplan.md	57	process types	PROTECTED_NEARBY	review	core service(s)	Same **two codebases and three process types** as the fixed companion: `api` (process types `web` + `worker`) and `reaper` (process type `prune`). Sam
docex/test_projects/elastic/plans/core/masterplan.md	57	process type	PROTECTED_NEARBY	review	core service(s)	Same **two codebases and three process types** as the fixed companion: `api` (process types `web` + `worker`) and `reaper` (process type `prune`). Sam
docex/test_projects/elastic/plans/core/masterplan.md	73	core_services	AMBIG	low	codebase? or KEEP?	- **`consumes`**: `api.web consumes api.worker`, one direction only, obliged by the four-segment magic refs `${core_services.api.worker.{host,port}}` 
docex/test_projects/elastic/plans/core/masterplan.md	100	process types	PROTECTED_NEARBY	review	core service(s)	Identical to the fixed companion — Ping creation, Ping processing, Self health (`/health` on both `api` process types, the worker's gated on its loop 
docex/test_projects/elastic/plans/core/masterplan.md	100	process types	PROTECTED_NEARBY	review	core service(s)	Identical to the fixed companion — Ping creation, Ping processing, Self health (`/health` on both `api` process types, the worker's gated on its loop 
docex/test_projects/fixed/core/api/Dockerfile	1	core service	AMBIG	low	codebase? or KEEP?	# api — Python core service, multi-stage build per doctrine
docex/test_projects/fixed/core/api/Dockerfile	64	core services	AMBIG	low	codebase? or KEEP?	# is deliberately irrelevant for core services — with two process types on
docex/test_projects/fixed/core/api/tests/test_processor_smoke.py	3	process type	PROTECTED_NEARBY	review	core service(s)	`processor` is the module the `api.worker` process type drives. Verifies
docex/test_projects/fixed/core/reaper/Dockerfile	1	core service	AMBIG	low	codebase? or KEEP?	# reaper — Python scheduler core service, multi-stage build per doctrine.
docex/test_projects/fixed/infra/config/README.md	4	core service	AMBIG	low	codebase? or KEEP?	Keys are **declared** in each core service's `config:` block in `infra.yml`
docex/test_projects/fixed/infra/contracts/api.worker.asyncapi.yml	47	process type	PROTECTED_NEARBY	review	core service(s)	process type claims rows where `processed_at IS NULL`, oldest first,
docex/test_projects/fixed/infra/contracts/api.worker.asyncapi.yml	80	process type	PROTECTED_NEARBY	review	core service(s)	Null while unprocessed; stamped by this process type on a
docex/test_projects/fixed/infra/secrets/README.md	4	core service	AMBIG	low	codebase? or KEEP?	project's own API keys/tokens (declared in a core service's `secrets:` block)
docex/test_projects/fixed/plans/core/api/hex/pings.md	5	process type	PROTECTED_NEARBY	review	core service(s)	Captures requests as `Ping` rows in postgres for the `api.worker` process type to process. Implements the `POST /pings` write surface and exposes the 
docex/test_projects/fixed/plans/core/api/hex/pings.md	29	process type	PROTECTED_NEARBY	review	core service(s)	- `pings` does not own the `processed_at = now()` write — that belongs to the sibling [`processor`](./processor.md) module, driven by the `api.worker`
docex/test_projects/fixed/plans/core/api/hex/processor.md	5	process type	PROTECTED_NEARBY	review	core service(s)	Claims unprocessed rows from the `pings` table and marks each one processed. Driven by the `api.worker` process type. Demonstrates a second module ins
docex/test_projects/fixed/plans/core/masterplan.md	19	process type	PROTECTED_NEARBY	review	core service(s)	| Ping | A small unit of work created by the `api.web` process type and consumed (processed) by the `api.worker` process type. Postgres-mediated; no r
docex/test_projects/fixed/plans/core/masterplan.md	19	process type	PROTECTED_NEARBY	review	core service(s)	| Ping | A small unit of work created by the `api.web` process type and consumed (processed) by the `api.worker` process type. Postgres-mediated; no r
docex/test_projects/fixed/plans/core/masterplan.md	48	Core Services	AMBIG	low	codebase? or KEEP?	### Core Services
docex/test_projects/fixed/plans/core/masterplan.md	66	core_services	AMBIG	low	codebase? or KEEP?	- **`consumes`**: `api.web consumes api.worker`, one direction only. `api.web` holds four-segment magic refs to `${core_services.api.worker.host}` / `
docex/tests/README.md	38	core service	AMBIG	low	codebase? or KEEP?	* `sample_project/` — fixed-foundation project with one core service
docex/tests/fixtures/sample_project/README.md	4	core service	AMBIG	low	codebase? or KEEP?	`migrate` commands against a minimal real core service (`api`) backed
docex/tests/fixtures/sample_project/README.md	12	core service	AMBIG	low	codebase? or KEEP?	infra.yml              # one core service, one backing service
doctrine/hexagonal_architecture/hex_overview.md	161	core service	AMBIG	low	codebase? or KEEP?	The "highest" form of integration test, performed against the entire core service. They test the behavior of all modules together against real driven 
doctrine/infrastructure/cicd.md	56	core service	AMBIG	low	codebase? or KEEP?	3. Perform core service checks:
doctrine/infrastructure/cicd.md	104	Core Service	AMBIG	mixed	codebase? or KEEP?	The developer must write and maintain `build.sh`. They must also write the Dockerfile such that its `build` stage invokes `build.sh` — see [Core Servi
doctrine/infrastructure/cicd.md	130	core services	AMBIG	low	codebase? or KEEP?	`./bin/docex build` to refresh all core services' `dist/` folders in the `dev` environment.
doctrine/infrastructure/cicd.md	131	core service	AMBIG	low	codebase? or KEEP?	`./bin/docex build <core_service_name>` to refresh a specific core service.
doctrine/infrastructure/cicl.md	13	core services	AMBIG	low	codebase? or KEEP?	The CICL format defines the backing and core services that compose the [environment infrastructure](./infrastructure.md#infrastructure-tiers) on which
doctrine/infrastructure/cicl.md	13	core_services	AMBIG	low	codebase? or KEEP?	The CICL format defines the backing and core services that compose the [environment infrastructure](./infrastructure.md#infrastructure-tiers) on which
doctrine/infrastructure/cicl.md	134	core service	AMBIG	low	codebase? or KEEP?	| processes | yes | core (service) | The core service's [process types](#process-types). Must be present and non-empty. |
doctrine/infrastructure/cicl.md	168	core services	AMBIG	low	codebase? or KEEP?	A magic ref reads a [provided field](#provided-fields) off another service. Refs to core services carry the process dimension; refs to backing service
doctrine/infrastructure/cicl.md	171	core_services	AMBIG	low	codebase? or KEEP?	${core_services.<service>.<process>.<part>}     # four segments — api.web.host
doctrine/infrastructure/cicl.md	181	core service	AMBIG	low	codebase? or KEEP?	Three fields define a core service's container environment variables, distinguished by *where the value comes from* and *how it is handled*:
doctrine/infrastructure/cicl.md	196	core service	AMBIG	low	codebase? or KEEP?	+ For example, a core service needs a bucket name. This name will be interpolated from the object store backing service name, the environment name, an
doctrine/infrastructure/cicl.md	323	core service	AMBIG	low	codebase? or KEEP?	The `observability_backend_url` top-level field declares the URL at which the project's observability backend is reachable. This is the destination th
doctrine/infrastructure/cicl.md	371	core_services	AMBIG	low	codebase? or KEEP?	- Compile errors on this block name the full path, e.g. `core_services.api.processes.worker.resources.disk`.
doctrine/infrastructure/cicl.md	540	core service	AMBIG	low	codebase? or KEEP?	10. Every core service **process type** has a `resources:` block declaring at least `cpu` and `memory`.
doctrine/infrastructure/cicl.md	544	core service	AMBIG	low	codebase? or KEEP?	14. Neither core service names nor process type names can be one of the following: [`dev`, `test`, `stage`, `prod`, `www`], because it makes domain pa
doctrine/infrastructure/cicl.md	546	core service	AMBIG	low	codebase? or KEEP?	16. A process type's *effective* `env:` (service-level merged under process-level) does not declare a key that also appears in the core service's `sec
doctrine/infrastructure/cicl.md	549	core service	AMBIG	low	codebase? or KEEP?	19. Every key a core service consumes from `config:` is declared in that service's `config:` block; config values live in the non-tracked `infra/confi
doctrine/infrastructure/cicl.md	552	core service	AMBIG	low	codebase? or KEEP?	22. Every core service declares a non-empty `processes:` block, and declares nothing at the service level outside `{processes, secrets, config, env}`.
doctrine/infrastructure/cicl.md	555	core service	AMBIG	low	codebase? or KEEP?	25. `consumes` names only core process types, fully qualified as `<service>.<process>`. A bare core service name is an error, and a process type may n
doctrine/infrastructure/configurable.md	31	core services	AMBIG	low	codebase? or KEEP?	The classic example is the `postgres` engine's `POSTGRES_PASSWORD` variable. This must be set for the `relational_db` backing service when it launches
doctrine/infrastructure/contracts.md	9	core service	AMBIG	low	codebase? or KEEP?	Contracts define the boundaries of core service [process types](./cicl.md#process-types). A process type can be a provider, a consumer, or both, depen
doctrine/infrastructure/contracts.md	49	process type	PROTECTED_NEARBY	review	core service(s)	For a process type that owns a loop rather than a request cycle — a queue consumer, a stream processor, a polling worker — that endpoint must report t
doctrine/infrastructure/contracts.md	69	core service	AMBIG	low	codebase? or KEEP?	`consumes` is the source rather than [`depends_on`](./cicl.md#depends-on-relationships) because a web edge does not `depends_on` its worker: it needs 
doctrine/infrastructure/docex.md	30	core services	AMBIG	low	codebase? or KEEP?	Docex is run from the terminal e.g. `./bin/docex <command>`. Commands will perform a variety of tasks spanning the entire `doctrine`. Docex does so by
doctrine/infrastructure/docex.md	46	core service	AMBIG	low	codebase? or KEEP?	| `migrate <env>` | Apply database migrations for each schema-owning core service in `<env>`. |
doctrine/infrastructure/docex.md	80	core_services	AMBIG	low	codebase? or KEEP?	Describes one role: its engines (and foundations), the **provided parts** that magic refs target (`${backing_services.<svc>.<part>}` for a backing rol
doctrine/infrastructure/docex.md	139	core service	AMBIG	low	codebase? or KEEP?	- **`scaffold`** reconciles the file's key set against the keys declared in each core service's `config:` block (adds missing empty, removes stale, pr
